submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
60,116,2,50,0,31,0,6,0,3,1,-999999,0,877,2,'591-AB-1'
10,117,3,1,0,20,1,1,0,-999999,-999999,-999999,0,627,2,'591-AB-1'
20,118,4,30,1,16,0,2,0,-999999,-999999,-999999,0,26,2,'591-AB-1'
30,119,2,20,0,10,0,3,0,-999999,-999999,-999999,0,316,2,'591-AB-1'
20,120,2,20,0,7,0,2,0,-999999,-999999,0,0,769,2,'591-AB-1'
40,121,2,30,0,16,0,4,0,-999999,-999999,-999999,0,99,2,'591-AB-1'
20,122,4,10,0,7,1,2,0,-999999,-999999,1,0,55,2,'591-AB-1'
10,123,4,10,0,6,1,1,0,-999999,-999999,-999999,0,810,2,'591-AB-1'
20,124,1,20,1,30,1,2,0,-999999,-999999,-999999,0,156,2,'591-AB-1'
20,125,2,20,0,7,0,2,0,-999999,-999999,-999999,0,980,2,'591-AB-1'
20,126,1,20,1,33,1,2,0,-999999,-999999,-999999,0,230,2,'591-AB-1'
1,127,3,1,1,11,0,0,1,-999999,-999999,-999999,0,723,2,'591-AB-1'
-999999,128,2,10,0,4,0,-999999,-999999,-999999,-999999,-999999,1,749,2,'591-AB-1'
40,129,1,30,0,46,0,4,0,-999999,-999999,-999999,0,1199,2,'591-AB-1'
40,130,1,20,0,35,0,4,0,-999999,-999999,-999999,0,858,2,'591-AB-1'
60,131,1,40,1,60,1,6,0,-999999,-999999,-999999,0,480,2,'591-AB-1'
20,132,4,20,0,4,1,2,0,-999999,-999999,-999999,0,405,2,'591-AB-1'
40,133,1,20,0,36,0,4,0,-999999,-999999,-999999,0,924,2,'591-AB-1'
30,134,2,40,0,24,0,3,0,-999999,-999999,-999999,0,308,2,'591-AB-1'
20,135,4,20,1,1,0,2,0,-999999,-999999,-999999,0,72,2,'591-AB-1'
-999999,136,3,30,0,45,1,-999999,-999999,-999999,-999999,1,1,867,2,'591-AB-1'
10,137,4,2,0,1,1,1,0,-999999,-999999,-999999,0,508,2,'591-AB-1'
30,138,1,20,0,36,0,3,0,-999999,-999999,0,0,266,2,'591-AB-1'
20,139,4,20,0,5,1,2,0,-999999,-999999,-999999,0,1291,2,'591-AB-1'
20,140,5,20,0,-999999,-999999,2,0,-999999,-999999,-999999,0,1274,2,'591-AB-1'
60,141,1,40,1,51,1,6,0,5,1,-999999,0,1167,2,'591-AB-1'
30,142,1,20,1,37,1,3,0,-999999,-999999,0,0,148,2,'591-AB-1'
40,143,2,40,0,30,0,4,0,-999999,-999999,-999999,0,377,2,'591-AB-1'
20,144,4,20,1,7,0,2,0,-999999,-999999,-999999,0,1419,2,'591-AB-1'
30,145,1,20,1,37,1,3,0,-999999,-999999,-999999,0,1231,2,'591-AB-1'
